ticker,comparison_cohort,operator_bucket,operator_rationale,themes,categories,price,avg_volume,dollar_volume,dv_pct_of_threshold,dv_gap,volume_profile,perf_1d,perf_1w,perf_1m,perf_3m,prior_bucket,prior_rationale,current_ranking_eligibility_reason
KOPN,secondary threshold-policy set,not compelling despite numerical proximity,"lower-price / more speculative profile; still too far below current threshold; dollar volume 11,087,624 (73.9% of threshold); gap to threshold 3,912,376; price 2.85; avg volume 3,890,394",AR/VR & Metaverse,Emerging Tech,2.85,3890394.249143381,11087623.610058635,73.91749073372424,3912376.3899413645,low_price_high_turnover,0.35,4.78,43.94,-9.81,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 11,087,624; price 2.85","dollar volume invalid: 11,087,624 < 15,000,000"
GILT,secondary threshold-policy set,not compelling despite numerical proximity,"still too far below current threshold; dollar volume 10,787,925 (71.9% of threshold); gap to threshold 4,212,075; price 17.92; avg volume 602,005",Space - Satellites,Space & Aerospace,17.92,602004.7303118571,10787924.76718848,71.9194984479232,4212075.23281152,mid_profile,-2.4,-4.32,10.28,1.41,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,787,925; price 17.92","dollar volume invalid: 10,787,925 < 15,000,000"
VTLE,secondary threshold-policy set,not compelling despite numerical proximity,"still too far below current threshold; dollar volume 10,736,656 (71.6% of threshold); gap to threshold 4,263,344; price 17.92; avg volume 599,144",Oil - Permian Basin,Energy - Oil & Gas,17.92,599143.7619047619,10736656.213333337,71.57770808888891,4263343.786666663,mid_profile,-0.99,-5.54,4.8,12.35,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,736,656; price 17.92","dollar volume invalid: 10,736,656 < 15,000,000"
RPAY,secondary threshold-policy set,not compelling despite numerical proximity,"lower-price / more speculative profile; still too far below current threshold; dollar volume 10,704,300 (71.4% of threshold); gap to threshold 4,295,700; price 3.81; avg volume 2,809,528",Fintech - Payments,Financials - Other,3.81,2809527.5489466665,10704299.9614868,71.36199974324533,4295700.0385132,low_price_high_turnover,-5.93,24.1,47.1,12.06,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,704,300; price 3.81","dollar volume invalid: 10,704,300 < 15,000,000"
XHR,secondary threshold-policy set,not compelling despite numerical proximity,"still too far below current threshold; dollar volume 10,548,093 (70.3% of threshold); gap to threshold 4,451,907; price 16.26; avg volume 648,714",REITs - Hotels,Financials - REITs,16.26,648714.2270538572,10548093.331895718,70.32062221263811,4451906.668104282,mid_profile,-1.09,-0.25,13.95,11.91,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,548,093; price 16.26","dollar volume invalid: 10,548,093 < 15,000,000"
DQ,secondary threshold-policy set,not compelling despite numerical proximity,"still too far below current threshold; dollar volume 10,429,570 (69.5% of threshold); gap to threshold 4,570,430; price 20.17; avg volume 517,083",Solar - Manufacturers,Energy - Clean,20.17,517083.2927953809,10429570.015682831,69.53046677121888,4570429.984317169,mid_profile,-9.06,-4.9,-2.75,-18.27,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,429,570; price 20.17","dollar volume invalid: 10,429,570 < 15,000,000"
LTBR,secondary threshold-policy set,not compelling despite numerical proximity,"recent tape is weak; still too far below current threshold; dollar volume 10,340,189 (68.9% of threshold); gap to threshold 4,659,811; price 12.61; avg volume 819,999",Rare Earths,Metals & Mining,12.61,819999.1497171429,10340189.277933173,68.93459518622115,4659810.722066827,mid_profile,-2.47,6.41,21.95,-26.56,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,340,189; price 12.61","dollar volume invalid: 10,340,189 < 15,000,000"
BLDP,secondary threshold-policy set,not compelling despite numerical proximity,"lower-price / more speculative profile; still too far below current threshold; dollar volume 10,073,342 (67.2% of threshold); gap to threshold 4,926,658; price 3.1; avg volume 3,249,465","Clean Energy - Fuel Cells, Clean Energy - Hydrogen",Energy - Clean,3.1,3249465.142441572,10073341.941568872,67.15561294379248,4926658.058431128,low_price_high_turnover,-2.21,5.44,28.63,17.42,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,073,342; price 3.1","dollar volume invalid: 10,073,342 < 15,000,000"
DCOM,secondary threshold-policy set,not compelling despite numerical proximity,"still too far below current threshold; dollar volume 10,034,610 (66.9% of threshold); gap to threshold 4,965,390; price 36.23; avg volume 276,970",Banks - Northeast,Financials - Banks,36.23,276969.6397315238,10034610.047473108,66.89740031648739,4965389.952526892,high_price_low_turnover,-2.82,0.11,12.94,20.29,likely threshold-policy review candidate,"meaningful liquidity but still below current $15M floor; dollar volume 10,034,610; price 36.23","dollar volume invalid: 10,034,610 < 15,000,000"
DRUG,prior strongest borderline set,strongest future policy exception candidates,"closest group to current threshold; miss is mainly low share turnover at a higher price; recent tape is acceptable/constructive; dollar volume 14,815,134 (98.8% of threshold); gap to threshold 184,866; price 87.42; avg volume 169,471",Psychedelics,Specialty Themes,87.42,169470.76414133335,14815134.20123536,98.76756134156906,184865.7987646405,high_price_low_turnover,-3.71,-1.93,22.06,5.33,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,815,134 (98.8% of threshold); gap to threshold 184,866; price 87.42; avg volume 169,471","dollar volume invalid: 14,815,134 < 15,000,000"
IIPR,prior strongest borderline set,strongest future policy exception candidates,"closest group to current threshold; miss is mainly low share turnover at a higher price; dollar volume 14,651,550 (97.7% of threshold); gap to threshold 348,450; price 52.85; avg volume 277,229","Cannabis, REITs - Industrial","Specialty Themes, Financials - REITs",52.85,277228.9433237143,14651549.6546583,97.676997697722,348450.3453416992,high_price_low_turnover,-0.62,3.26,2.4,6.02,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,651,550 (97.7% of threshold); gap to threshold 348,450; price 52.85; avg volume 277,229","dollar volume invalid: 14,651,550 < 15,000,000"
BLMN,prior strongest borderline set,strongest future policy exception candidates,"closest group to current threshold; recent tape is acceptable/constructive; dollar volume 14,353,251 (95.7% of threshold); gap to threshold 646,749; price 6.49; avg volume 2,211,595",Restaurants - Fast Casual,Consumer - Restaurants,6.49,2211594.920496238,14353251.034020584,95.68834022680387,646748.9659794159,mid_profile,-2.7,1.25,11.51,-13.0,strongest future threshold-policy review cases,"very close to current threshold; dollar volume 14,353,251 (95.7% of threshold); gap to threshold 646,749; price 6.49; avg volume 2,211,595","dollar volume invalid: 14,353,251 < 15,000,000"
LTC,prior strongest borderline set,strongest future policy exception candidates,"closest group to current threshold; miss is mainly low share turnover at a higher price; dollar volume 14,244,404 (95.0% of threshold); gap to threshold 755,596; price 38.7; avg volume 368,072",REITs - Healthcare,Financials - REITs,38.7,368072.4672633333,14244404.483091,94.96269655394,755595.5169089995,high_price_low_turnover,-0.95,-1.7,5.91,3.23,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,244,404 (95.0% of threshold); gap to threshold 755,596; price 38.7; avg volume 368,072","dollar volume invalid: 14,244,404 < 15,000,000"
CCS,prior strongest borderline set,strongest future policy exception candidates,"closest group to current threshold; miss is mainly low share turnover at a higher price; recent tape is acceptable/constructive; dollar volume 14,142,616 (94.3% of threshold); gap to threshold 857,384; price 63.81; avg volume 221,636",Homebuilders - Mid,Real Estate - Non REIT,63.81,221636.3643309048,14142616.407955036,94.2841093863669,857383.5920449644,high_price_low_turnover,0.77,5.77,14.64,-3.7,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,142,616 (94.3% of threshold); gap to threshold 857,384; price 63.81; avg volume 221,636","dollar volume invalid: 14,142,616 < 15,000,000"
STC,prior strongest borderline set,strongest future policy exception candidates,"closest group to current threshold; miss is mainly low share turnover at a higher price; recent tape is acceptable/constructive; dollar volume 13,552,474 (90.3% of threshold); gap to threshold 1,447,526; price 67.25; avg volume 201,524",Insurance - Title,Financials - Insurance,67.25,201523.78190261903,13552474.332951132,90.34982888634087,1447525.6670488678,high_price_low_turnover,0.61,3.7,17.18,3.43,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 13,552,474 (90.3% of threshold); gap to threshold 1,447,526; price 67.25; avg volume 201,524","dollar volume invalid: 13,552,474 < 15,000,000"
